0,4 stars,0.3078
1,1 star,0.7553
2,1 star,0.3461
3,1 star,0.6903
4,2 stars,0.3685
5,4 stars,0.3893
6,5 stars,0.3047
7,4 stars,0.4153
8,1 star,0.3057
9,5 stars,0.4232
10,3 stars,0.4213
11,4 stars,0.5174
12,4 stars,0.5167
13,5 stars,0.2857
14,3 stars,0.3815
15,4 stars,0.3495
16,3 stars,0.286
17,1 star,0.5797
18,1 star,0.4115
19,5 stars,0.2743
20,2 stars,0.3272
21,5 stars,0.2601
22,3 stars,0.472
23,1 star,0.3544
24,5 stars,0.5242
25,4 stars,0.4173
26,2 stars,0.3303
27,1 star,0.2729
28,3 stars,0.2444
29,3 stars,0.3079
30,2 stars,0.2826
31,1 star,0.487
32,4 stars,0.4566
33,2 stars,0.5225
34,4 stars,0.3018
35,5 stars,0.6342
36,1 star,0.5435
37,1 star,0.2859
38,2 stars,0.3248
39,1 star,0.6171
40,1 star,0.3179
41,3 stars,0.3344
42,5 stars,0.4729
43,5 stars,0.3589
44,3 stars,0.235
45,1 star,0.7888
46,5 stars,0.4958
47,3 stars,0.294
48,4 stars,0.2668
49,1 star,0.5278
50,1 star,0.3464
51,3 stars,0.3374
52,1 star,0.2632
53,5 stars,0.4796
54,2 stars,0.3041
55,5 stars,0.2905
56,1 star,0.6308
57,3 stars,0.2887
58,1 star,0.4189
59,4 stars,0.5048
60,5 stars,0.4599
61,3 stars,0.3195
62,4 stars,0.3255
63,4 stars,0.2418
64,4 stars,0.412
65,4 stars,0.3836
66,1 star,0.8844
67,3 stars,0.5685
68,1 star,0.2542
69,1 star,0.3664
70,1 star,0.3823
71,5 stars,0.3797
72,5 stars,0.5218
73,3 stars,0.3621
74,3 stars,0.2852
75,3 stars,0.4178
76,5 stars,0.3799
77,1 star,0.7599
78,3 stars,0.3548
79,1 star,0.4247
80,1 star,0.5649
81,1 star,0.3039
82,2 stars,0.3997
83,4 stars,0.5013
84,1 star,0.2654
85,1 star,0.357
86,4 stars,0.3865
87,1 star,0.476
88,5 stars,0.424
89,5 stars,0.4458
90,1 star,0.2665
91,4 stars,0.4723
92,1 star,0.3683
93,5 stars,0.4748
94,5 stars,0.5426
95,5 stars,0.4182
96,5 stars,0.3158
97,1 star,0.4027
98,3 stars,0.274
99,1 star,0.4333
100,1 star,0.344
101,2 stars,0.2956
102,1 star,0.6449
103,1 star,0.4438
104,1 star,0.3867
105,3 stars,0.347
106,1 star,0.3236
107,4 stars,0.2821
108,5 stars,0.2412
109,2 stars,0.3083
110,3 stars,0.392
111,4 stars,0.3286
112,3 stars,0.3593
113,1 star,0.4881
114,5 stars,0.4884
115,1 star,0.5341
116,1 star,0.41
117,5 stars,0.3621
118,2 stars,0.3938
119,1 star,0.3151
120,2 stars,0.4258
121,1 star,0.3212
122,4 stars,0.4884
123,3 stars,0.2835
124,3 stars,0.4398
125,4 stars,0.3379
126,1 star,0.6087
127,3 stars,0.254
128,4 stars,0.3948
129,5 stars,0.4262
130,5 stars,0.5563
131,3 stars,0.4008
132,4 stars,0.2723
133,1 star,0.3313
134,3 stars,0.4278
135,1 star,0.7025
136,4 stars,0.2477
137,5 stars,0.74
138,4 stars,0.4197
139,2 stars,0.3341
140,1 star,0.3757
141,3 stars,0.3111
142,1 star,0.5106
143,3 stars,0.2214
144,1 star,0.5223
145,5 stars,0.3537
146,3 stars,0.4382
147,3 stars,0.4292
148,3 stars,0.2754
149,1 star,0.3378
150,1 star,0.4331
151,5 stars,0.2869
152,4 stars,0.3474
153,3 stars,0.2873
154,2 stars,0.3335
155,5 stars,0.3673
156,5 stars,0.4675
157,5 stars,0.2624
158,1 star,0.4835
159,4 stars,0.3134
160,5 stars,0.419
161,2 stars,0.386
162,3 stars,0.3727
163,5 stars,0.7803
164,3 stars,0.3159
165,2 stars,0.2598
166,5 stars,0.4141
167,1 star,0.5671
168,4 stars,0.2346
169,1 star,0.6798
170,4 stars,0.2467
171,5 stars,0.3158
172,5 stars,0.7202
173,3 stars,0.3376
174,1 star,0.5184
175,3 stars,0.5559
176,5 stars,0.3123
177,1 star,0.5875
178,1 star,0.4267
179,4 stars,0.3572
180,5 stars,0.4201
181,1 star,0.33
182,1 star,0.38
183,5 stars,0.3589
184,3 stars,0.2554
185,5 stars,0.4182
186,2 stars,0.3446
187,1 star,0.6444
188,3 stars,0.4346
189,1 star,0.5132
190,5 stars,0.6253
191,3 stars,0.3079
192,5 stars,0.4458
193,1 star,0.4425
194,1 star,0.4694
195,3 stars,0.4805
196,5 stars,0.6603
197,5 stars,0.4404
198,3 stars,0.2681
199,5 stars,0.2809
200,5 stars,0.3276
201,1 star,0.3634
202,2 stars,0.328
203,5 stars,0.8166
204,4 stars,0.3085
205,1 star,0.4601
206,3 stars,0.5543
207,2 stars,0.2769
208,4 stars,0.3847
209,1 star,0.3412
210,5 stars,0.5354
211,5 stars,0.9867
212,4 stars,0.297
213,3 stars,0.4459
214,1 star,0.5235
215,4 stars,0.253
216,1 star,0.4225
217,5 stars,0.3708
218,3 stars,0.2862
219,1 star,0.6903
220,1 star,0.3544
221,1 star,0.7176
222,5 stars,0.3456
223,5 stars,0.324
224,1 star,0.3583
225,2 stars,0.5761
226,2 stars,0.2447
227,3 stars,0.3136
228,4 stars,0.3942
229,1 star,0.3974
230,3 stars,0.2676
231,2 stars,0.3619
232,5 stars,0.5445
233,2 stars,0.2698
234,1 star,0.6049
235,1 star,0.6038
236,1 star,0.2516
237,3 stars,0.2838
238,3 stars,0.2209
239,5 stars,0.4218
240,1 star,0.698
241,5 stars,0.5644
242,5 stars,0.5475
243,5 stars,0.397
244,1 star,0.3541
245,1 star,0.4052
246,1 star,0.5285
247,4 stars,0.3815
248,1 star,0.3213
249,5 stars,0.3319
250,5 stars,0.294
251,1 star,0.4601
252,1 star,0.3368
253,1 star,0.3473
254,1 star,0.7319
255,1 star,0.3829
256,1 star,0.419
257,4 stars,0.3336
258,1 star,0.249
259,1 star,0.3993
260,4 stars,0.5322
261,1 star,0.4102
262,3 stars,0.3788
263,1 star,0.5151
264,2 stars,0.3067
265,5 stars,0.3639
266,5 stars,0.467
267,2 stars,0.3132
268,4 stars,0.3798
269,4 stars,0.4524
270,5 stars,0.391
271,5 stars,0.4739
272,1 star,0.5648
273,1 star,0.6383
274,3 stars,0.4874
275,4 stars,0.4719
276,3 stars,0.2535
277,5 stars,0.4733
278,3 stars,0.2953
279,2 stars,0.2833
280,3 stars,0.449
281,5 stars,0.3462
282,3 stars,0.2831
283,5 stars,0.4251
284,4 stars,0.3474
285,2 stars,0.4394
286,3 stars,0.3506
287,2 stars,0.437
288,5 stars,0.507
289,1 star,0.4735
290,3 stars,0.3572
291,2 stars,0.4179
292,2 stars,0.4764
293,1 star,0.3396
294,3 stars,0.4073
295,4 stars,0.3932
296,1 star,0.5778
297,2 stars,0.3289
298,1 star,0.3247
299,3 stars,0.3049
300,5 stars,0.3696
301,3 stars,0.2987
302,3 stars,0.4686
303,1 star,0.3868
304,5 stars,0.4233
305,1 star,0.3393
306,5 stars,0.4429
307,2 stars,0.3701
308,1 star,0.7415
309,4 stars,0.3424
310,1 star,0.3878
311,4 stars,0.3542
312,5 stars,0.7106
313,4 stars,0.4583
314,1 star,0.4121
315,3 stars,0.3896
316,3 stars,0.2497
317,1 star,0.4132
318,3 stars,0.6222
319,3 stars,0.3168
320,1 star,0.2968
321,5 stars,0.5515
322,1 star,0.6562
323,3 stars,0.4892
324,1 star,0.5582
325,3 stars,0.4693
326,4 stars,0.3437
327,2 stars,0.3597
328,1 star,0.6212
329,5 stars,0.2971
330,3 stars,0.4564
331,2 stars,0.3306
332,4 stars,0.3496
333,3 stars,0.228
334,5 stars,0.3953
335,3 stars,0.2649
336,1 star,0.4119
337,4 stars,0.2697
338,1 star,0.3667
339,4 stars,0.3694
340,1 star,0.4221
341,2 stars,0.3964
342,5 stars,0.7716
343,3 stars,0.537
344,1 star,0.3259
345,2 stars,0.3419
346,1 star,0.3816
347,5 stars,0.5065
348,1 star,0.3568
349,3 stars,0.3078
350,2 stars,0.2879
351,5 stars,0.4565
352,4 stars,0.2653
353,5 stars,0.3553
354,1 star,0.4118
355,4 stars,0.4529
356,3 stars,0.2973
357,1 star,0.342
358,5 stars,0.2353
359,3 stars,0.3382
360,5 stars,0.3309
361,1 star,0.3044
362,5 stars,0.5766
363,1 star,0.7078
364,3 stars,0.3156
365,1 star,0.2676
366,4 stars,0.4101
367,4 stars,0.3093
368,4 stars,0.4326
369,2 stars,0.3538
370,2 stars,0.4683
371,1 star,0.2663
372,3 stars,0.2978
373,2 stars,0.33
374,4 stars,0.4697
375,1 star,0.8729
376,1 star,0.4431
377,5 stars,0.5325
378,5 stars,0.2769
379,2 stars,0.3427
380,1 star,0.2738
381,2 stars,0.3861
382,5 stars,0.2739
383,3 stars,0.2685
384,1 star,0.3896
385,1 star,0.3775
386,5 stars,0.5923
387,1 star,0.2672
388,5 stars,0.3219
389,3 stars,0.2989
390,5 stars,0.5676
391,5 stars,0.4639
392,3 stars,0.2396
393,1 star,0.4852
394,2 stars,0.3467
395,5 stars,0.3411
396,1 star,0.4671
397,2 stars,0.3402
398,5 stars,0.258
399,1 star,0.6718
400,2 stars,0.3656
401,5 stars,0.6176
402,1 star,0.3926
403,1 star,0.3998
404,1 star,0.3829
405,5 stars,0.5448
406,1 star,0.4965
407,3 stars,0.3814
408,1 star,0.4511
409,2 stars,0.3401
410,5 stars,0.413
411,5 stars,0.5013
412,5 stars,0.5203
413,1 star,0.4312
414,1 star,0.426
415,1 star,0.4066
416,3 stars,0.2585
417,3 stars,0.3172
418,1 star,0.5455
419,3 stars,0.3126
420,3 stars,0.3162
421,1 star,0.342
422,1 star,0.6345
423,1 star,0.4449
424,3 stars,0.3426
425,3 stars,0.4557
426,4 stars,0.5047
427,5 stars,0.426
428,1 star,0.4907
429,1 star,0.3706
430,3 stars,0.3452
431,1 star,0.6329
432,5 stars,0.4573
433,1 star,0.4456
434,2 stars,0.3557
435,1 star,0.5659
436,1 star,0.3005
437,1 star,0.2415
438,5 stars,0.3179
439,3 stars,0.4527
440,1 star,0.5553
441,2 stars,0.3412
442,3 stars,0.3038
443,2 stars,0.4419
444,1 star,0.7736
445,4 stars,0.3237
446,3 stars,0.4219
447,1 star,0.5759
448,3 stars,0.282
449,3 stars,0.2957
450,2 stars,0.3522
451,1 star,0.6854
452,1 star,0.268
453,1 star,0.3048
454,3 stars,0.435
455,1 star,0.3248
456,3 stars,0.3534
457,5 stars,0.3204
458,5 stars,0.7168
459,2 stars,0.4165
460,3 stars,0.3223
461,1 star,0.4216
462,3 stars,0.3105
463,5 stars,0.643
464,1 star,0.6736
465,3 stars,0.3462
466,1 star,0.4088
467,1 star,0.329
468,2 stars,0.3577
469,5 stars,0.5787
470,4 stars,0.462
471,2 stars,0.5069
472,5 stars,0.3231
473,1 star,0.358
474,3 stars,0.2461
475,4 stars,0.2946
476,5 stars,0.3713
477,5 stars,0.7204
478,5 stars,0.3764
479,1 star,0.3899
480,1 star,0.4948
481,5 stars,0.4689
482,5 stars,0.3479
483,5 stars,0.3008
484,5 stars,0.2756
485,4 stars,0.3235
486,1 star,0.5189
487,5 stars,0.4469
488,5 stars,0.824
489,5 stars,0.629
490,3 stars,0.3102
491,3 stars,0.4238
